343088,0.41,121793,0.88,164214,23550,360,345599,3.98,133,226,72.025391,80.823242,69.318359,72.702148
196988,0.25,68197,0.61,86571,9785,106,212355,5.48,67,36,55.106445,61.197266,53.75293,56.459961
200985,0.25,69023,0.58,88007,11292,106,212676,5.43,67,36,53.75293,61.197266,53.076172,56.459961
194817,0.24,67052,0.58,85994,10105,106,209976,5.39,67,36,55.106445,61.874023,53.75293,57.136719
188511,0.24,66449,0.57,82451,11545,106,196145,5.55,67,36,55.106445,61.874023,53.75293,57.136719
250149,0.31,90382,0.76,106463,14999,190,316506,5.63,121,69,57.813477,65.257812,56.459961,59.84375
197437,0.24,70431,0.59,83481,10973,106,204527,5.47,67,36,57.813477,65.257812,56.459961,59.84375
250149,0.31,90382,0.76,106463,14999,190,316506,5.63,121,69,57.813477,65.257812,56.459961,60.520508
246834,0.3,90680,0.77,103569,16102,190,293902,5.71,121,69,59.84375,67.964844,58.490234,61.874023
248051,0.3,90041,0.76,100943,14999,190,292768,5.18,121,69,57.136719,65.257812,56.459961,59.84375
326114,0.34,124649,0.74,101830,7633,64,241771,4.8,32,32,72.025391,84.883789,69.995117,74.732422
207722,0.23,77974,0.52,73427,4571,32,146132,4.86,16,16,61.874023,69.318359,59.84375,62.550781
157565,0.19,62430,0.51,60715,4602,10,124335,4.97,5,0,57.813477,64.581055,55.783203,58.490234
183198,0.23,72813,0.65,75421,8226,10,162161,5.04,5,0,63.227539,72.702148,61.874023,65.93457
166606,0.21,65473,0.61,70843,6796,10,139504,5.05,5,0,59.166992,66.611328,57.813477,61.197266
126518,0.16,49623,0.38,45681,2377,0,78842,5.06,0,0,56.459961,63.227539,54.429688,57.136719
167906,0.19,67465,0.55,51520,6451,9,116919,4.72,2,7,59.166992,65.93457,57.136719,59.84375
98037,0.14,34880,0.26,45535,946,30,47882,5.09,19,8,51.045898,57.136719,49.692383,53.076172
85143,0.13,30940,0.23,41091,810,26,45962,5.73,17,8,53.076172,59.166992,51.722656,55.106445
183132,0.25,66536,0.62,92163,200,2,212540,6.55,1,0,57.136719,63.904297,55.783203,59.166992
320652,0.36,124791,0.86,100889,15282,6,315824,4.4,3,0,57.813477,64.581055,56.459961,59.84375
136864,0.18,51604,0.41,58385,628,2,95068,4.93,1,0,53.75293,60.520508,52.399414,55.783203
115812,0.16,41621,0.34,51482,2252,8,87291,5.68,4,0,56.459961,64.581055,55.106445,59.166992
86943,0.13,31446,0.23,42584,816,6,47452,5.91,3,0,54.429688,60.520508,53.076172,56.459961
299298,0.36,106626,0.79,125672,9538,8,360309,5.73,4,0,60.520508,67.964844,59.166992,62.550781
137794,0.2,49052,0.46,73612,2100,6,134951,6.36,3,0,57.136719,63.904297,55.783203,59.166992
110220,0.16,40489,0.31,51202,2128,6,66871,5.22,3,0,55.783203,62.550781,55.106445,57.813477
205737,0.26,71511,0.55,94874,5856,216,159537,4.72,167,0,59.166992,65.93457,57.136719,59.84375
136588,0.19,46462,0.35,63112,5525,30,107415,5.43,17,4,53.75293,61.874023,53.076172,56.459961
149063,0.19,49772,0.39,69512,5187,38,125145,5.26,21,4,52.399414,58.490234,51.722656,54.429688
223843,0.28,75236,0.59,98722,13119,78,232632,5.41,44,10,58.490234,66.611328,57.136719,61.197266
327259,0.43,100760,0.84,203364,18789,250,310014,4.02,1,248,68.641602,76.762695,65.93457,69.318359
244862,0.32,77703,0.74,147768,12751,166,214849,4.14,1,164,63.904297,72.025391,62.550781,65.93457
256517,0.34,80630,0.74,155723,13569,178,228238,4.12,1,176,63.904297,72.702148,63.227539,66.611328
268473,0.35,84293,0.75,163724,14491,190,242140,4.1,1,188,64.581055,73.378906,63.227539,67.288086
279612,0.37,87555,0.78,171086,15309,202,254951,4.08,1,200,65.93457,75.40918,64.581055,68.641602
303860,0.4,93905,0.79,187612,17049,226,282941,4.04,1,224,67.964844,77.439453,66.611328,69.995117
315643,0.42,97640,0.83,195576,17971,238,296670,4.03,1,236,69.318359,79.469727,67.964844,72.025391
339338,0.45,104941,0.87,211555,19711,262,324045,4,1,260,72.025391,82.853516,70.671875,74.732422
363038,0.48,112181,0.91,227655,21451,286,351425,3.98,1,284,74.732422,86.237305,72.702148,77.439453
374539,0.49,114791,0.9,235135,22269,298,364638,3.97,1,296,75.40918,87.59082,73.378906,78.116211
386668,0.51,118028,0.92,243609,23191,310,378735,3.96,1,308,76.762695,90.297852,75.40918,80.146484
399941,0.52,122163,0.92,251559,24009,322,393742,3.96,1,320,77.439453,91.651367,75.40918,80.823242
411835,0.54,125473,0.94,259578,24931,334,407582,3.95,1,332,79.469727,94.358398,77.439453,82.176758
423607,0.55,128629,0.94,267613,25749,346,421082,3.94,1,344,80.146484,95.711914,78.116211,83.530273
435600,0.57,131861,0.95,275796,26671,358,435027,3.93,1,356,82.853516,102.479492,80.823242,86.237305
443889,0.57,134034,0.95,281677,21225,370,445050,3.92,1,368,82.176758,100.449219,80.146484,85.560547
169776,0.19,68921,0.54,53650,1633,8,159758,5.33,4,0,58.490234,65.257812,56.459961,59.166992
190242,0.23,78879,0.69,55240,10024,8,195100,5.26,4,0,66.611328,74.732422,65.93457,69.318359
117606,0.17,39143,0.3,58892,2992,16,80193,5.37,8,0,53.076172,58.490234,51.722656,54.429688
147539,0.21,47554,0.47,80072,6466,20,114166,5.39,10,0,59.84375,67.288086,58.490234,61.874023
78274,0.12,28303,0.2,38366,666,2,45962,5.66,1,0,57.136719,63.904297,55.783203,59.166992
122866,0.18,44042,0.42,65987,1460,4,83962,5.21,2,0,53.75293,59.84375,52.399414,55.783203
92199,0.13,32806,0.24,43244,978,4,45962,5.15,2,0,55.106445,62.550781,53.75293,57.136719
86625,0.13,31175,0.24,41801,728,2,45962,5.25,1,0,51.722656,57.813477,51.045898,53.75293
418456,0.48,161276,0.91,140564,11260,12,319136,4.89,6,0,81.5,104.509766,78.116211,83.530273
80820,0.12,29286,0.21,39967,760,2,45962,5.58,1,0,52.399414,59.84375,51.722656,55.106445
420250,0.54,144674,0.92,209986,8364,16,406312,4.52,8,0,63.227539,72.025391,61.874023,65.257812
114844,0.18,39823,0.36,67975,1236,2,72038,5.13,1,0,56.459961,63.227539,54.429688,57.813477
98039,0.15,32800,0.26,53728,1152,0,46783,4.96,0,0,51.722656,57.813477,49.692383,52.399414
220316,0.27,70116,0.61,107840,9207,54,222265,5.12,25,20,55.106445,61.874023,54.429688,57.136719
153564,0.21,51459,0.46,77532,7054,50,135087,5.43,23,20,54.429688,61.197266,53.75293,56.459961
191267,0.25,63797,0.58,97945,8418,90,207072,5.8,41,40,59.84375,66.611328,57.813477,61.874023
353149,0.42,113756,0.9,195661,12130,596,344462,3.92,301,262,63.227539,71.348633,61.874023,64.581055
84554,0.13,30119,0.24,43393,772,98,45962,5.64,98,0,50.369141,56.459961,48.338867,51.045898
